route_market_key,origin_market,dest_market,N_train,precio_medio_train,aeropuertos_origen,aeropuertos_destino
BOSTON__CHICAGO,BOSTON,CHICAGO,3922,213.4057598164202,"BOS, ORD","BOS, ORD"
DENVER__LOS_ANGELES,LOS_ANGELES,DENVER,3822,254.86473835688122,"DEN, LAX","DEN, LAX"
BOSTON__DALLAS_FORT_WORTH,BOSTON,DALLAS_FORT_WORTH,3781,300.73565987833905,"BOS, DFW","BOS, DFW"
BOSTON__MIAMI,BOSTON,MIAMI,3727,228.52433592701908,"BOS, MIA","BOS, MIA"
DALLAS_FORT_WORTH__PHILADELPHIA,PHILADELPHIA,DALLAS_FORT_WORTH,3581,330.9158112259146,"DFW, PHL","DFW, PHL"
LOS_ANGELES__WASHINGTON,WASHINGTON,LOS_ANGELES,3521,472.0830389094008,"IAD, LAX","IAD, LAX"
CHARLOTTE__CHICAGO,CHARLOTTE,CHICAGO,3449,268.69663670629166,"CLT, ORD","CLT, ORD"
CHICAGO__DALLAS_FORT_WORTH,DALLAS_FORT_WORTH,CHICAGO,3428,282.75953617269545,"DFW, ORD","DFW, ORD"
BOSTON__DENVER,DENVER,BOSTON,3422,381.30412624196373,"BOS, DEN","BOS, DEN"
CHICAGO__MIAMI,MIAMI,CHICAGO,3388,251.28044273907912,"MIA, ORD","MIA, ORD"
CHARLOTTE__MIAMI,CHARLOTTE,MIAMI,3327,278.42219416892095,"CLT, MIA","CLT, MIA"
BOSTON__CHARLOTTE,BOSTON,CHARLOTTE,3111,216.02893603342977,"BOS, CLT","BOS, CLT"
ATLANTA__DETROIT,DETROIT,ATLANTA,3086,288.1136292935839,"ATL, DTW","ATL, DTW"
BOSTON__DETROIT,BOSTON,DETROIT,3043,250.4740289188301,"BOS, DTW","BOS, DTW"
CHARLOTTE__PHILADELPHIA,PHILADELPHIA,CHARLOTTE,2988,280.2133232931727,"CLT, PHL","CLT, PHL"
MIAMI__PHILADELPHIA,PHILADELPHIA,MIAMI,2934,269.89746080436265,"MIA, PHL","MIA, PHL"
ATLANTA__CHICAGO,ATLANTA,CHICAGO,2824,245.36207152974504,"ATL, ORD","ATL, ORD"
ATLANTA__DENVER,ATLANTA,DENVER,2727,347.50460579391273,"ATL, DEN","ATL, DEN"
DALLAS_FORT_WORTH__DETROIT,DETROIT,DALLAS_FORT_WORTH,2666,329.24958364591146,"DFW, DTW","DFW, DTW"
DENVER__MIAMI,MIAMI,DENVER,2607,373.54610280015345,"DEN, MIA","DEN, MIA"
DENVER__PHILADELPHIA,DENVER,PHILADELPHIA,2597,394.1884328070851,"DEN, PHL","DEN, PHL"
CHARLOTTE__DETROIT,CHARLOTTE,DETROIT,2574,283.49314296814293,"CLT, DTW","CLT, DTW"
ATLANTA__PHILADELPHIA,PHILADELPHIA,ATLANTA,2506,247.10495211492417,"ATL, PHL","ATL, PHL"
ATLANTA__DALLAS_FORT_WORTH,DALLAS_FORT_WORTH,ATLANTA,2485,249.5099597585513,"ATL, DFW","ATL, DFW"
DETROIT__MIAMI,MIAMI,DETROIT,2373,276.18962916139907,"DTW, MIA","DTW, MIA"
ATLANTA__MIAMI,ATLANTA,MIAMI,2349,255.29011919965942,"ATL, MIA","ATL, MIA"
CHARLOTTE__DENVER,DENVER,CHARLOTTE,2298,390.7756266318538,"CLT, DEN","CLT, DEN"
DENVER__DETROIT,DETROIT,DENVER,2227,356.2641894925909,"DEN, DTW","DEN, DTW"
DALLAS_FORT_WORTH__DENVER,DENVER,DALLAS_FORT_WORTH,2165,236.44248960739029,"DEN, DFW","DEN, DFW"
ATLANTA__CHARLOTTE,ATLANTA,CHARLOTTE,2114,306.9015279091769,"ATL, CLT","ATL, CLT"
CHICAGO__DENVER,DENVER,CHICAGO,2104,328.89839353612166,"DEN, ORD","DEN, ORD"
CHICAGO__PHILADELPHIA,PHILADELPHIA,CHICAGO,2055,260.9204817518248,"ORD, PHL","ORD, PHL"
DENVER__WASHINGTON,DENVER,WASHINGTON,2003,405.57009485771346,"DEN, IAD","DEN, IAD"
DETROIT__PHILADELPHIA,PHILADELPHIA,DETROIT,1905,297.3835695538058,"DTW, PHL","DTW, PHL"
CHICAGO__WASHINGTON,WASHINGTON,CHICAGO,1825,312.80601643835615,"IAD, ORD","IAD, ORD"
DALLAS_FORT_WORTH__WASHINGTON,WASHINGTON,DALLAS_FORT_WORTH,1821,324.2699670510708,"DFW, IAD","DFW, IAD"
BOSTON__PHILADELPHIA,PHILADELPHIA,BOSTON,1749,199.48277301315036,"BOS, PHL","BOS, PHL"
BOSTON__WASHINGTON,BOSTON,WASHINGTON,1681,290.9153837001785,"BOS, IAD","BOS, IAD"
MIAMI__WASHINGTON,WASHINGTON,MIAMI,1531,329.12109079033314,"IAD, MIA","IAD, MIA"
CHICAGO__DETROIT,CHICAGO,DETROIT,1392,221.748283045977,"DTW, ORD","DTW, ORD"
ATLANTA__WASHINGTON,ATLANTA,WASHINGTON,1261,250.83042030134817,"ATL, IAD","ATL, IAD"
CHARLOTTE__WASHINGTON,CHARLOTTE,WASHINGTON,1190,220.65589075630254,"CLT, IAD","CLT, IAD"
DETROIT__WASHINGTON,DETROIT,WASHINGTON,964,223.95800829875517,"DTW, IAD","DTW, IAD"
