route_market_key,isBasicEconomy_num,route_avg_price_30_hist,seatsRemaining,travelDuration_mins,flight_dayofweek,totalTravelDistance,route_avg_price_hist,dot_avg_fare,days_to_departure,isNonStop_num,market_share_route,route_std_price_hist,capacity_pressure,price_urgency,has_business_segment,elapsedDays,duration_per_mile,passengers_route,market_pressure,other_carriers_share,is_multi_airline,low_fare_carrier_share,route_avg_price_lag_1w
DALLAS_FORT_WORTH__LOS_ANGELES,0.0,285.5736666666666,7.0,343.0,3.0,1456.0,311.78293462327764,250.2465367,27.0,0.0,0.4696878147,122.47642486181329,0.17647058823529413,10.18315098276513,0.0,0.0,0.2201467645096731,5936.413043,22280961.850393638,0.34913485310000003,1.0,0.1811773322,293.29601223238086
DALLAS_FORT_WORTH__MIAMI,0.0,276.6023333333333,7.0,349.0,3.0,1289.0,285.1667483603728,218.79623,26.0,0.0,0.4835061263,115.23092839834857,0.2,10.500535886575967,0.0,0.0,0.2550335570469799,2767.826087,10268328.006362269,0.21449890039999997,1.0,0.3019949733,276.9310340734534
DALLAS_FORT_WORTH__NEW_YORK,0.0,273.9353333333333,7.0,344.0,3.0,1398.0,296.0933696922478,208.4403522,28.0,0.0,0.480594444,118.73325909687438,0.20454545454545456,9.634131718843983,0.0,0.0,0.22379032258064516,5931.73913,23808284.905182555,0.3929487649999999,1.0,0.126456791,277.4671880918866
DALLAS_FORT_WORTH__PHILADELPHIA,0.0,333.5560000000001,7.0,376.0,3.0,1392.0,347.2538380872483,283.9936419,27.0,0.0,0.6349419477,130.86737373281093,0.18421052631578946,11.652755605712471,0.0,0.0,0.25340990667623836,1376.195652,6565907.20124275,0.2430297765,1.0,0.1220282758,329.03914744797066
DALLAS_FORT_WORTH__SAN_FRANCISCO,0.0,421.3445,7.0,523.5,3.0,1874.0,453.35269670225284,263.5991927,28.0,0.0,0.3959157828,189.00461386672794,0.18181818181818182,13.989665297669143,0.0,0.0,0.2803201488315387,2746.521739,11141662.937876118,0.4843280038000001,1.0,0.1197562134,419.6224350133993
DALLAS_FORT_WORTH__WASHINGTON,0.0,331.20033333333333,7.0,366.0,3.0,1266.0,345.7698359433259,255.828832,27.0,0.0,0.4464538895,121.00646352463905,0.21951219512195122,11.4673606271089,0.0,0.0,0.2612470402525651,3449.891304,12906135.399475506,0.17291029970000005,1.0,0.3806358108,332.31500408163265
DENVER__DETROIT,0.0,358.28000000000003,6.0,388.0,3.0,1285.0,373.956976331361,265.3654422,28.0,0.0,0.561396564,141.81265351423542,0.17647058823529413,11.868216090412156,0.0,0.0,0.2491258741258741,1372.934783,5656707.36055683,0.23751088589999997,1.0,0.2010925501,357.118458110517
DENVER__LOS_ANGELES,0.0,254.567,7.0,277.0,3.0,937.0,271.96928645115463,167.198293,26.0,0.0,0.469351143,124.14856300528086,0.20454545454545456,9.208211044541347,0.0,0.0,0.2623199393479909,6119.456522,25227253.805696934,0.4252651024,1.0,0.1053837546,256.3958662490798
DENVER__MIAMI,0.0,377.1206666666667,7.0,472.0,3.0,1834.0,390.3574737845567,235.0770534,27.0,0.0,0.2922366317,156.09867732651753,0.2,12.935572688137269,0.0,0.0,0.22083805209513024,1835.543478,7975286.945061197,0.575945994,1.0,0.1318173743,371.3337012265512
DENVER__NEW_YORK,0.0,406.83133333333336,7.0,458.0,3.0,1702.0,402.31038277511965,270.3372925,28.0,0.0,0.4944779923,147.78975550727893,0.21052631578947367,13.660995578362257,0.0,0.0,0.23584441161989167,4734.021739,19328435.044998337,0.38693086590000003,1.0,0.1185911418,405.4219529301307
DENVER__PHILADELPHIA,0.0,398.67699999999996,7.0,420.0,3.0,1671.0,427.0023862998315,300.2210942,28.0,0.0,0.3470171294,139.68472188349855,0.1956521739130435,13.516661540516864,0.0,0.0,0.23396613648024628,1472.173913,5008284.271460452,0.38386001180000007,1.0,0.2691228588,394.29609325798975
DENVER__SAN_FRANCISCO,0.0,355.108,7.0,372.0,3.0,1186.0,362.29668478260874,209.1613123,28.0,0.0,0.4291338583,207.88106512667136,0.2,12.353862008782666,0.0,0.0,0.2897959183673469,3727.173913,14974830.980259791,0.4507728200000001,1.0,0.1200933217,353.57373799809324
DENVER__WASHINGTON,0.0,402.47999999999996,7.0,397.0,3.0,1673.0,434.09482689747006,280.2291501,26.0,0.0,0.4153398605,152.35530550129636,0.21875,14.901100217268645,0.0,0.0,0.22698684962835905,3474.891304,11999949.984568197,0.32325064909999995,1.0,0.2614094904,401.41316165262094
DETROIT__LOS_ANGELES,0.0,455.2911666666667,7.0,495.0,3.0,2233.0,469.79885468140446,372.1971746,28.0,0.0,0.5800993914,138.26510752512485,0.17073170731707318,15.217651805188757,0.0,0.0,0.20652173913043478,1946.630435,8520985.260520559,0.12915293979999998,1.0,0.2907476688,460.8791265925678
DETROIT__MIAMI,0.0,275.572,6.0,399.0,3.0,1589.0,288.31482001755927,192.2963643,27.0,0.0,0.5385082202,136.51727537152982,0.1724137931034483,9.818939166512003,0.0,0.0,0.2641509433962264,1970.217391,8798334.242445352,0.0724925522,1.0,0.3889992276,279.6930821823679
DETROIT__NEW_YORK,0.0,234.48803846153845,7.0,305.0,3.0,612.0,250.63157514577523,203.4616029,28.0,0.0,0.4986850301,120.33665958882429,0.1891891891891892,9.210951596212041,0.0,0.0,0.3719412724306688,3141.086957,12216529.88058019,0.3360440169,1.0,0.165270953,265.395990611645
DETROIT__PHILADELPHIA,0.0,297.51266666666663,6.0,316.0,3.0,912.0,302.06076062639823,230.025157,24.0,0.0,0.4403266332,128.66092010083133,0.1724137931034483,11.788273800827177,0.0,0.0,0.34611171960569553,692.173913,2429182.9390720865,0.2947550251,1.0,0.2649183417,298.80660855251193
DETROIT__SAN_FRANCISCO,0.0,565.2465000000001,7.0,586.0,3.0,2463.0,603.0662213866119,438.1244134,28.0,0.0,0.7468342644,280.12469551078186,0.1875,19.128075476083716,0.0,0.0,0.23296199213630406,1167.391304,7089197.835699519,0.220018622,1.0,0.0331471136,563.7787668637338
DETROIT__WASHINGTON,0.0,221.4805,7.0,101.0,3.0,391.0,241.81708347267647,176.2857789,28.0,1.0,0.6506814419,142.96194051361712,0.20454545454545456,8.254319102353586,0.0,0.0,0.25,1706.73913,8293669.456423875,0.2023945994,0.0,0.1469239587,227.29276949940817
LOS_ANGELES__MIAMI,0.0,405.53366666666665,6.0,544.0,3.0,2417.0,432.1388458729,336.1041215,27.0,0.0,0.5251548572,162.6256278908902,0.17647058823529413,14.082362249765875,0.0,0.0,0.20590551181102362,3597.282609,13977102.708842697,0.24054993200000002,1.0,0.2342952108,429.17728448655527
LOS_ANGELES__NEW_YORK,0.0,442.02833333333336,7.0,503.0,3.0,2516.0,462.2494991055456,426.8098754,28.0,0.0,0.2802079937,173.29502065865063,0.2,15.066733602348032,0.0,0.0,0.19180859691808597,12667.6087,45241018.88847073,0.4588217123000001,1.0,0.260970294,448.76641209449315
LOS_ANGELES__PHILADELPHIA,0.0,459.4636666666667,7.0,526.5,3.0,2491.0,495.3363650038506,398.7797704,28.0,0.0,0.7386911596,171.16466864666205,0.19148936170212766,15.835885985321948,0.0,0.0,0.20436439210252857,1893.478261,10978556.882210165,0.13191733640000003,1.0,0.129391504,469.2378838915689
LOS_ANGELES__SAN_FRANCISCO,0.0,236.14066666666665,7.0,99.0,3.0,351.0,220.01111967128918,129.5796802,29.0,1.0,0.6269530103,131.15673769479594,0.18518518518518517,8.705549209825284,0.0,0.0,0.27058823529411763,16661.84783,130985476.2314063,0.0,0.0,0.6269530103,262.91868570764984
LOS_ANGELES__WASHINGTON,0.0,487.46133333333336,7.0,520.0,3.0,2448.0,513.4258549222798,363.1836227,29.0,0.0,0.3592477073,144.51117405579603,0.2,15.81915132145117,0.0,0.0,0.20522388059701493,4669.782609,18398131.15998317,0.4930636376,1.0,0.1476886551,487.1120987257874
MIAMI__NEW_YORK,0.0,224.27300000000002,7.0,194.0,3.0,1104.0,219.22736932305057,184.0920563,28.0,1.0,0.3029342747,126.69565100397296,0.21428571428571427,7.872834988621519,0.0,0.0,0.1755656108597285,16258.36957,67505964.96263435,0.5491419135,0.0,0.1479238118,230.9007660883928
MIAMI__PHILADELPHIA,0.0,269.25933333333336,7.0,363.0,3.0,1201.0,285.09409366102,178.4925973,29.0,0.0,0.5233039103,147.15870916409176,0.18421052631578946,9.0820719697432,0.0,0.0,0.2848101265822785,2549.021739,10002962.559890952,0.1885633875,1.0,0.2881327022,261.7925010993287
MIAMI__SAN_FRANCISCO,0.0,550.6343333333333,7.0,678.0,3.0,2820.0,559.3908515057113,380.6842394,27.0,0.0,0.4292950913,180.85557664936735,0.2,19.71596277995685,0.0,0.0,0.21846908199400708,1523.478261,5920012.377241305,0.14140981740000003,1.0,0.4292950913,559.122239498596
MIAMI__WASHINGTON,0.0,333.7926666666666,7.0,403.0,3.0,1137.0,333.04846153846154,170.5554931,29.0,0.0,0.3206572864,125.72760209676221,0.19444444444444445,10.782080561295594,0.0,0.0,0.3190045248868778,5430.76087,22492816.924133774,0.5404199107,1.0,0.1389228029,330.7469824278682
NEW_YORK__SAN_FRANCISCO,0.0,540.9003333333334,7.0,603.0,3.0,2797.0,551.8329360306178,413.6668856,28.0,0.0,0.3468845686,207.12702166358974,0.20454545454545456,18.47398512592477,0.0,0.0,0.21074918566775244,8839.23913,31351441.936409622,0.4292126265,1.0,0.2239028049,538.5002466361636
NEW_YORK__WASHINGTON,0.0,378.035,7.0,358.0,3.0,872.0,389.34581412103745,196.5215954,27.0,0.0,0.3010938116,152.99906094409496,0.22580645161290322,13.480255028735632,0.0,0.0,0.4391891891891892,2206.086957,9768708.657935638,0.5817402444,1.0,0.117165944,375.93808201397076
PHILADELPHIA__SAN_FRANCISCO,0.0,604.976,7.0,654.0,3.0,2755.0,622.6452275132275,382.3220435,28.0,0.0,0.5617391304,197.35370206721416,0.19444444444444445,19.772253657933767,0.0,0.0,0.23373015873015873,1250.0,5214260.113192363,0.271826087,1.0,0.1664347826,581.338149333962
SAN_FRANCISCO__WASHINGTON,0.0,579.2366666666666,7.0,592.0,3.0,2645.0,592.1203092783505,426.051297,26.0,0.0,0.5488094816,177.13409793972775,0.21739130434782608,21.23056178499956,0.0,0.0,0.21946564885496184,3063.152174,13153384.60415343,0.3405485965,1.0,0.1106419219,568.550628077225
