route_key,startingAirport,destinationAirport,origin_market,dest_market,route_market_key,N_train,precio_medio_train
CLT_DTW,CLT,DTW,CHARLOTTE,DETROIT,CHARLOTTE__DETROIT,2574,283.49314296814293
DFW_JFK,JFK,DFW,NEW_YORK,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__NEW_YORK,2514,374.82914478918065
ATL_PHL,PHL,ATL,PHILADELPHIA,ATLANTA,ATLANTA__PHILADELPHIA,2506,247.10495211492417
ATL_JFK,JFK,ATL,NEW_YORK,ATLANTA,ATLANTA__NEW_YORK,2505,292.4492375249501
ATL_DFW,DFW,ATL,DALLAS_FORT_WORTH,ATLANTA,ATLANTA__DALLAS_FORT_WORTH,2485,249.5099597585513
ATL_OAK,ATL,OAK,ATLANTA,SAN_FRANCISCO,ATLANTA__SAN_FRANCISCO,2460,549.3021341463415
DFW_SFO,SFO,DFW,SAN_FRANCISCO,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__SAN_FRANCISCO,2373,353.2794816687737
DTW_MIA,MIA,DTW,MIAMI,DETROIT,DETROIT__MIAMI,2373,276.18962916139907
ATL_MIA,ATL,MIA,ATLANTA,MIAMI,ATLANTA__MIAMI,2349,255.29011919965942
DTW_JFK,JFK,DTW,NEW_YORK,DETROIT,DETROIT__NEW_YORK,2308,366.78193674176777
EWR_MIA,MIA,EWR,MIAMI,NEW_YORK,MIAMI__NEW_YORK,2304,250.6745659722222
CLT_DEN,DEN,CLT,DENVER,CHARLOTTE,CHARLOTTE__DENVER,2298,390.7756266318538
DEN_DTW,DTW,DEN,DETROIT,DENVER,DENVER__DETROIT,2227,356.2641894925909
DTW_EWR,EWR,DTW,NEW_YORK,DETROIT,DETROIT__NEW_YORK,2193,243.17628818969447
DEN_DFW,DEN,DFW,DENVER,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__DENVER,2165,236.44248960739029
ATL_CLT,ATL,CLT,ATLANTA,CHARLOTTE,ATLANTA__CHARLOTTE,2114,306.9015279091769
DEN_ORD,DEN,ORD,DENVER,CHICAGO,CHICAGO__DENVER,2104,328.89839353612166
LAX_OAK,OAK,LAX,SAN_FRANCISCO,LOS_ANGELES,LOS_ANGELES__SAN_FRANCISCO,2067,345.31620706337685
BOS_OAK,BOS,OAK,BOSTON,SAN_FRANCISCO,BOSTON__SAN_FRANCISCO,2059,646.7292666342885
OAK_ORD,OAK,ORD,SAN_FRANCISCO,CHICAGO,CHICAGO__SAN_FRANCISCO,2059,474.05882952889755
ORD_PHL,PHL,ORD,PHILADELPHIA,CHICAGO,CHICAGO__PHILADELPHIA,2055,260.9204817518248
DEN_OAK,OAK,DEN,SAN_FRANCISCO,DENVER,DENVER__SAN_FRANCISCO,2037,397.2515071183113
DTW_OAK,OAK,DTW,SAN_FRANCISCO,DETROIT,DETROIT__SAN_FRANCISCO,2036,577.7444155206288
DEN_IAD,DEN,IAD,DENVER,WASHINGTON,DENVER__WASHINGTON,2003,405.57009485771346
EWR_IAD,IAD,EWR,WASHINGTON,NEW_YORK,NEW_YORK__WASHINGTON,1922,324.4330124869927
BOS_EWR,BOS,EWR,BOSTON,NEW_YORK,BOSTON__NEW_YORK,1909,184.60457307490833
DTW_PHL,PHL,DTW,PHILADELPHIA,DETROIT,DETROIT__PHILADELPHIA,1905,297.3835695538058
IAD_ORD,IAD,ORD,WASHINGTON,CHICAGO,CHICAGO__WASHINGTON,1825,312.80601643835615
OAK_PHL,PHL,OAK,PHILADELPHIA,SAN_FRANCISCO,PHILADELPHIA__SAN_FRANCISCO,1824,646.5611403508772
DFW_IAD,IAD,DFW,WASHINGTON,DALLAS_FORT_WORTH,DALLAS_FORT_WORTH__WASHINGTON,1821,324.2699670510708
BOS_PHL,PHL,BOS,PHILADELPHIA,BOSTON,BOSTON__PHILADELPHIA,1749,199.48277301315036
IAD_JFK,IAD,JFK,WASHINGTON,NEW_YORK,NEW_YORK__WASHINGTON,1701,389.3831334509112
BOS_IAD,BOS,IAD,BOSTON,WASHINGTON,BOSTON__WASHINGTON,1681,290.9153837001785
IAD_MIA,IAD,MIA,WASHINGTON,MIAMI,MIAMI__WASHINGTON,1531,329.12109079033314
CLT_OAK,CLT,OAK,CHARLOTTE,SAN_FRANCISCO,CHARLOTTE__SAN_FRANCISCO,1508,659.3838129973475
EWR_OAK,EWR,OAK,NEW_YORK,SAN_FRANCISCO,NEW_YORK__SAN_FRANCISCO,1441,550.3695766828591
IAD_OAK,OAK,IAD,SAN_FRANCISCO,WASHINGTON,SAN_FRANCISCO__WASHINGTON,1418,672.0827150916784
DTW_ORD,ORD,DTW,CHICAGO,DETROIT,CHICAGO__DETROIT,1392,221.748283045977
ATL_IAD,ATL,IAD,ATLANTA,WASHINGTON,ATLANTA__WASHINGTON,1261,250.83042030134817
CLT_IAD,CLT,IAD,CHARLOTTE,WASHINGTON,CHARLOTTE__WASHINGTON,1190,220.65589075630254
MIA_OAK,OAK,MIA,SAN_FRANCISCO,MIAMI,MIAMI__SAN_FRANCISCO,1173,668.1584398976981
JFK_OAK,OAK,JFK,SAN_FRANCISCO,NEW_YORK,NEW_YORK__SAN_FRANCISCO,1166,581.7996140651801
DTW_IAD,DTW,IAD,DETROIT,WASHINGTON,DETROIT__WASHINGTON,964,223.95800829875517
